timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,tcp_flags,inter_arrival_time,pps,port_diversity,flow_duration
1765549961.669313,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.1447620391845703,1.0,1,4.809154272079468
1765549961.7479897,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.21842265129089355,6.6,3,4.909933090209961
1765549961.9699843,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2348508834838867,1.0,1,4.91294002532959
1765549962.1765437,192.168.0.5,239.255.255.250,52091,1900,17,167,,0.0,0.2,1,0.0
1765549962.288835,192.168.0.5,224.0.0.251,5353,5353,17,82,,0.11229133605957031,0.4,2,0.11229133605957031
1765549962.291483,192.168.0.5,224.0.0.251,5353,5353,17,103,,0.002647876739501953,0.6,2,0.11493921279907227
1765549962.3020914,192.168.0.5,239.255.255.250,52091,1900,17,167,,0.010608434677124023,0.8,2,0.1255476474761963
1765549962.586192,104.18.39.21,192.168.0.3,443,55899,6,78,PA,0.0,0.2,1,0.0
1765549962.586192,192.168.0.3,104.18.39.21,55899,443,6,82,PA,0.8382022380828857,6.4,2,4.721195936203003
1765549962.6733246,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.08713269233703613,6.6,2,4.808328628540039
1765549962.7022948,104.18.39.21,192.168.0.3,443,55899,6,54,A,0.11610293388366699,0.4,1,0.11610293388366699
1765549962.7888794,192.168.0.5,239.255.255.250,52091,1900,17,167,,0.4867880344390869,1.0,2,0.6123356819152832
1765549962.7967644,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.1274514198303223,1.0,1,4.714408874511719
1765549962.9723651,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.2990405559539795,6.6,2,4.908467531204224
1765549963.0561256,192.168.0.3,185.60.218.53,64071,5222,6,124,PA,0.08376049995422363,6.8,2,4.992228031158447
1765549963.0790498,54.80.219.230,192.168.0.3,443,65447,6,54,A,15.23666763305664,0.2,1,0.0
1765549963.0813172,192.168.0.3,54.80.219.230,65447,443,6,54,A,0.025191545486450195,6.8,2,4.735052824020386
1765549963.1970415,192.168.0.5,224.0.0.22,0,0,0,54,,0.40816211700439453,1.2,3,1.0204977989196777
1765549963.2021835,185.60.218.53,192.168.0.3,5222,64071,6,54,A,4.707525253295898,0.6,1,4.9085962772369385
1765549963.2043242,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.234339952468872,1.0,1,4.919957876205444
1765549963.2043242,185.60.218.53,192.168.0.3,5222,64071,6,126,PA,0.0021407604217529297,0.8,1,4.910737037658691
1765549963.2482827,192.168.0.3,185.60.218.53,64071,5222,6,54,A,0.16696548461914062,7.0,2,4.902018308639526
1765549963.8077197,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.5594370365142822,6.8,2,4.712555885314941
1765549963.9277234,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.1309590339660645,1.0,1,4.5927534103393555
1765549964.2131915,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.4054718017578125,6.8,2,4.916072607040405
1765549964.2311234,192.168.0.3,52.146.136.38,60806,443,6,85,PA,0.01793193817138672,7.0,2,4.934004545211792
1765549964.257895,192.168.0.5,224.0.0.251,5353,5353,17,103,,1.0608534812927246,1.4,3,2.0813512802124023
1765549964.428391,192.168.0.5,224.0.0.251,5353,5353,17,160,,0.17049598693847656,1.6,3,2.251847267150879
1765549964.428391,52.146.136.38,192.168.0.3,443,60806,6,54,A,9.524266004562378,0.2,1,0.0
1765549964.428391,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2240667343139648,1.0,1,4.916081190109253
1765549964.6472425,192.168.0.5,224.0.0.251,5353,5353,17,160,,0.21885156631469727,1.8,3,2.470698833465576
1765549964.9378526,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.7067291736602783,3.6,2,4.989236831665039
1765549964.9378526,192.168.0.5,224.0.0.251,5353,5353,17,160,,0.29061007499694824,2.0,3,2.7613089084625244
1765549965.0425162,20.215.74.200,192.168.0.3,443,60797,6,1393,A,3.684767961502075,0.8,1,4.405889987945557
1765549965.0442922,20.215.74.200,192.168.0.3,443,60797,6,2732,PA,0.001775979995727539,1.0,1,4.407665967941284
1765549965.0442922,20.215.74.200,192.168.0.3,443,60797,6,155,PA,0.0,1.2,1,4.407665967941284
1765549965.0464492,20.215.74.200,192.168.0.3,443,60797,6,4071,PA,0.002156972885131836,1.4,1,4.409822940826416
1765549965.0464492,20.215.74.200,192.168.0.3,443,60797,6,155,PA,0.0,1.6,1,4.409822940826416
1765549965.0474544,20.215.74.200,192.168.0.3,443,60797,6,2732,PA,0.0010051727294921875,1.8,1,4.410828113555908
1765549965.0474544,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.10960173606872559,3.6,2,4.7062296867370605
